stabbr,agebrk,wtdn,rtax,popgroup,totpop,share2010,share2020,share2030,share2040,tax2010,tax2020,tax2030,tax2040
NH,"(54,59]",217040.27,97.91628850374173,55to59,2612507.09,0.07314181105532219,0.08059172249339225,0.05854023784260021,0.0596971504513234,18710187.110140312,20615926.590050586,14975002.50135612,15270948.842675438
NH,"(59,64]",181745.09,58.7235449133729,60to64,2612507.09,0.06225284282968849,0.07835456784767593,0.06650200082653321,0.05309818783054633,9550562.055040972,12020819.10656564,10202449.507660013,8146094.4566536145
NH,"(64,69]",149238.16,136.91711884272763,65to69,2612507.09,0.04343129733301936,0.06482779239398537,0.07150276560097014,0.05306740258725788,15535242.317772117,23188703.2073783,25576320.72292296,18982047.716567818
NH,"(69,74]",107403.56,146.48915812343648,70to74,2612507.09,0.030069807895356522,0.050625098134366386,0.06378343262125113,0.055311982805653526,11507834.68445406,19374425.74431999,24410172.514794163,21168115.08779608
NH,"(74,79]",70923.23,118.81539829869564,75to79,2612507.09,0.024135756986486588,0.032981166613058596,0.04927893603934253,0.05553462924199191,7491885.483668711,10237554.327431168,15296480.892250316,17238286.037266247
NH,"(79,84]",51874.79,51.7922690782941,80to84,2612507.09,0.01896814967298913,0.0202441589174316,0.03411707900425425,0.04391923814950733,2566536.1397682624,2739189.9777545542,4616302.473215818,5942609.789837045
NH,"(84,1e+09]",32367.95,68.81899722225225,85+,2612507.09,0.018808632175438864,0.02252876526489873,0.02759317945882987,0.041306395774201844,3381606.2014349126,4050449.369196376,4960980.995584191,7426481.777413281
NJ,"(-1,4]",1042122.7,0,00to04,17880913.15,0.061536228712493576,0.06004328347144524,0.06052365617961999,0.05971742653429406,0,0,0,0
NJ,"(4,9]",1133659.26,0,05to09,17880913.15,0.06423530583967459,0.06173930467926703,0.06234400866667641,0.0625162234555281,0,0,0,0
NJ,"(9,14]",1128944.7,0,10to14,17880913.15,0.06680414936758791,0.06309549735898132,0.06226179520897545,0.06347916432265752,0,0,0,0
NJ,"(14,19]",1140933.53,34.036456159597655,15to19,17880913.15,0.06802845894183893,0.06292484115101105,0.06116454921438618,0.06247145329240346,41402318.51860562,38296241.846286304,37224923.03972352,38020308.67322136
NJ,"(19,24]",1222210.84,262.8662113567492,20to24,17880913.15,0.06156102427986507,0.06098092689882986,0.05824768435254972,0.05813675342448088,289354537.2473555,286627912.54915756,273780885.69384986,273259478.39542913
NJ,"(24,29]",1304443.97,1208.8951592557555,25to29,17880913.15,0.06291465752430592,0.06913043669336331,0.06466816069970653,0.06357948424786483,1359972633.3562665,1494333844.2018988,1397876619.881614,1374343627.1046586
NJ,"(29,34]",1133503.54,1431.5436258824564,30to34,17880913.15,0.06331536754196536,0.06740043108118152,0.06752126527512149,0.06523400694800771,1620702916.2916758,1725269542.8196867,1728362572.8076508,1669814918.6601999
NJ,"(34,39]",1086379.53,1741.0393865497263,35to39,17880913.15,0.06692289511224771,0.06503141927854209,0.07226539975422687,0.06837549105121925,2083401681.0262742,2024517439.3186605,2249721191.461695,2128622988.5627944
NJ,"(39,44]",1082907.7,2096.5181988392087,40to44,17880913.15,0.07392241080249602,0.06132071296985691,0.06601618924602197,0.06689246333762312,2771178190.0394588,2298770028.398471,2474792445.7831182,2507641910.847639
NJ,"(44,49]",1263316.15,2417.5924884464907,45to49,17880913.15,0.08013244927657226,0.062194459092412134,0.061120925341713817,0.0686982917469469,3464026523.6040106,2688589427.4082522,2642181893.132493,2969742056.8833766
NJ,"(49,54]",1368233.9,1806.376127822275,50to54,17880913.15,0.07673886878072006,0.06726275451099133,0.05642810109785724,0.061445139090714064,2478638960.449283,2172563742.0389724,1822608178.4575338,1984656773.0319889
NJ,"(54,59]",1344806.92,1829.0792153340124,55to59,17880913.15,0.06433460185029528,0.07001952245346249,0.05496068487055399,0.054631006484902905,2104102178.4882221,2290030955.2527246,1797522537.5053215,1786740205.9217188
NJ,"(59,64]",1025769.97,1386.7944585428252,60to64,17880913.15,0.0546573923661955,0.06423970678819241,0.05694459638343301,0.048319468309091076,1355347626.534061,1592961726.774032,1412063770.5350926,1198185164.9516017
NJ,"(64,69]",871649.55,758.5859407326717,65to69,17880913.15,0.03991995353902129,0.05176408196127122,0.056394911811406455,0.045228674502736495,541482605.9697932,702138843.1383003,764952388.5649719,613491208.3593003
NJ,"(69,74]",719951.53,615.3696215394806,70to74,17880913.15,0.02962524343446361,0.04226876804282853,0.04972915854689145,0.04504027430221251,325977537.30232203,465098926.25474083,547188368.9696304,495594837.18457174
NJ,"(74,79]",436882.32,523.0213110134555,75to79,17880913.15,0.024535668878628427,0.02954454378717775,0.0383488774688401,0.04268792144099462,229459995.4980869,276303487.70739555,358642484.7386773,399221651.96015126
NJ,"(79,84]",258868.38,268.09079629010694,80to84,17880913.15,0.02038616480134997,0.01927622643580486,0.027530656040440072,0.03309398213136315,97725326.2876292,92404605.59352048,131973932.84519778,158642894.99564287
NJ,"(84,1e+09]",316328.66,252.22214520960577,85+,17880913.15,0.02042915895027852,0.021763083345380862,0.023529379841579195,0.03045277537695942,92134736.13486923,98150684.83181468,106116615.39260063,137340868.05821964
NM,"(-1,4]",265984.85,0,00to04,4076233.18,0.07040718655347593,0.0643238409882013,0.06222980412891605,0.06136906035572701,0,0,0,0
NM,"(4,9]",274797.63,0,05to09,4076233.18,0.06959472683045038,0.06532041380627575,0.064501681709586145,0.06309288456377536,0,0,0,0
NM,"(9,14]",284985.24,0,10to14,4076233.18,0.06880946241196127,0.06855860757932944,0.0647028114061413,0.06471612327206072,0,0,0,0
NM,"(14,19]",278225.11,17.09876099784811,15to19,4076233.18,0.07277706309164964,0.06532465426132934,0.0633367677778147,0.0646607718815644,5072454.818554574,4553032.826578997,4414480.0471223025,4506761.196024857
NM,"(19,24]",310340.57,66.27435266188368,20to24,4076233.18,0.06913920547946537,0.058347965648256346,0.06005452359704734,0.05859624239024398,18677936.676580258,15762686.308408523,16223712.45242315,15829758.199572938
NM,"(24,29]",281084.51,246.72470390431687,25to29,4076233.18,0.06783188833996462,0.06194434992206259,0.057436831966192946,0.05757475941510927,68219033.71324824,62297892.61503902,57764648.341292724,57903363.00069372
NM,"(29,34]",252355.15,321.29760026034734,30to34,4076233.18,0.06195041810352572,0.06481710445341647,0.05650633554256171,0.060128452836908805,81135467.5943381,84889920.66446929,74005440.10254852,78749268.9475336
NM,"(34,39]",231160.43,566.5338055623967,35to39,4076233.18,0.05987968991525263,0.06391376745154474,0.060293208335788176,0.05779896343327254,138281598.79589075,147597590.4480614,139236546.76579735,133476527.41037801
NM,"(39,44]",228066.47,845.5059399166391,40to44,4076233.18,0.06081064346518685,0.05721707955449534,0.06184110700013861,0.05573752122293404,209582627.94660878,197197484.0773783,213134099.25741607,192098216.81659955
NM,"(44,49]",245183.72,1033.1675563477054,45to49,4076233.18,0.07033822703125857,0.054452960902987485,0.06004025927479722,0.058557080078131,296224651.2578664,229324935.16331217,252855461.61413458,246609153.4709094
NM,"(49,54]",259887.31,942.151706405711,50to54,4076233.18,0.07147023158258704,0.055797210935739694,0.05423314160910929,0.060600918786311464,274476424.7818254,214285285.37426126,208278586.53786033,232733589.33697805
NM,"(54,59]",252481.02,1018.3186451843786,55to59,4076233.18,0.06643375830852975,0.06447976197459127,0.05156555447650452,0.05878190126185222,275760169.66072303,267649317.9750353,214043679.19471452,243998043.730532
